"mac_local","mac_destino","latencia_prom","latencia_var","min_lat","max_lat","rssi_prom","rssi_var","rssi_min","rssi_max","lqi_prom","lqi_var","lqi_min","lqi_max"
"0002","0002",0.28149840595958,0.807927513611688,4.76837158203125e-05,5.15588140487671,-99.956043956044,13.9758241758242,-103,-67,94.1648351648352,271.49474969475,48,108
"0004","0002",0.227718083922927,0.649309174695857,0.0567560195922852,7.33191251754761,-94.3675675675676,58.2119858989425,-102,-82,102.189189189189,140.121621621621,31,108
"0005","0002",0.0915717124938965,0.00365690379019401,4.07695770263672e-05,0.506346940994263,-81.3,432.355395683453,-103,-40,103.35,100.114028776978,61,108
"0006","0002",0.193070551201149,0.68681965339037,0.0425419807434082,8.38255643844604,-79.0259259259259,74.8060167974666,-102,-70,106.440740740741,31.7046537243562,77,108
"0008","0002",0.120563178122798,0.00282968616746422,0.0481655597686768,0.399741411209106,-99.4810126582279,106.509250243427,-103,-36,98,162.769230769231,71,108
"0010","0002",0.157139555714763,0.264206077777896,0.047222375869751,5.14684009552002,-98.877529286475,45.6385030575102,-103,-68,103.843450479233,94.4413509812867,58,108
"0014","0002",0.19006308363231,0.633167244982291,4.17232513427734e-05,5.11098003387451,-62.3261802575107,440.720734053575,-99,-39,104.527896995708,117.138227023828,55,108
"0002","0004",0.235507649918125,0.677263699768688,4.76837158203125e-05,5.15588140487671,-65.013698630137,164.468776570619,-91,-55,101.691780821918,238.407794048181,30,108
"0004","0004",0.295229259404269,0.940431258359468,0.0850827693939209,7.33191251754761,-56.9272727272727,1.70108423686406,-61,-55,104.509090909091,80.8393661384487,76,108
"0005","0004",0.0967535446216534,0.00426892661585879,4.07695770263672e-05,0.506346940994263,-69.1168831168831,186.012392835922,-98,-55,106.532467532468,31.4793311263898,81,108
"0006","0004",0.187701984931683,0.639771253193632,4.50611114501953e-05,8.38255643844604,-70.8620689655172,45.5241617945353,-87,-56,107.741379310345,7.38963130891306,62,108
"0008","0004",0.199387635873712,0.505387734153606,0.0481655597686768,6.91159248352051,-57.804347826087,29.4118490205447,-94,-55,102.108695652174,138.559483994267,49,108
"0010","0004",0.156953343413691,0.263374639297198,0.047222375869751,5.14684009552002,-57.5286624203822,22.2685718540379,-78,-53,105.394904458599,57.937402275666,60,108
"0014","0004",0.163399773094275,0.531640140747372,4.17232513427734e-05,5.11098003387451,-85.5107296137339,175.414755068818,-101,-57,101.858369098712,317.475543880422,19,108
"0002","0005",0.205458894907999,0.53858578941658,4.76837158203125e-05,5.15588140487671,-89.2086330935252,286.818475654259,-102,-56,101.007194244604,208.818788447503,35,108
"0004","0005",0.221496874246842,0.616573829795922,0.0567560195922852,7.33191251754761,-92.0153846153846,79.7574940523395,-102,-72,103.533333333333,181.53883161512,31,108
"0005","0005",0.131705155317811,0.00466679671940283,4.07695770263672e-05,0.506346940994263,-98.816091954023,30.7797380379578,-102,-57,103.505747126437,83.4389200748463,80,108
"0006","0005",0.187701984931683,0.639771253193632,4.50611114501953e-05,8.38255643844604,-69.7241379310345,190.041283856342,-101,-57,106.275862068966,56.2419758978643,35,108
"0008","0005",0.199387635873712,0.505387734153606,0.0481655597686768,6.91159248352051,-99.2282608695652,12.6396321070234,-102,-77,95.3478260869565,262.88867654085,63,108
"0010","0005",0.158381723346132,0.270701967958081,0.047222375869751,5.14684009552002,-95.4654545454545,100.715127978817,-102,-57,105.363636363636,46.9112974404239,56,108
"0014","0005",0.167503403178577,0.533668091099107,0.0357100963592529,5.11098003387451,-72.5431034482759,184.240558292283,-101,-58,104.340517241379,111.88787505598,55,108
